City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nishinoomote,30.7333,131.0,19.51,69,3,8.49,JP,1715110799
1,tazovsky,67.4667,78.7,-13.28,97,93,3.81,RU,1715111183
2,papao,-17.75,-149.55,28.82,75,98,8.38,PF,1715111183
3,petropavlovsk-kamchatsky,53.0452,158.6483,0.81,78,100,3.58,RU,1715111183
4,port alfred,-33.5906,26.891,21.07,93,26,7.25,ZA,1715111183
5,bredasdorp,-34.5322,20.0403,16.3,83,100,3.43,ZA,1715111184
6,edinburgh of the seven seas,-37.0676,-12.3116,16.18,80,100,17.69,SH,1715111184
7,port-aux-francais,-49.35,70.2167,4.4,76,14,15.03,TF,1715111184
8,lorengau,-2.0226,147.2712,26.96,87,99,5.07,PG,1715111184
9,chinde,26.8418,88.0763,17.88,65,100,2.11,NP,1715111184
10,chonchi,-42.6128,-73.8092,9.56,76,14,1.95,CL,1715111184
11,waitangi,-43.9535,-176.5597,7.68,59,18,3.49,NZ,1715111185
12,dryden,49.7833,-92.7503,14.2,67,100,6.9,CA,1715111185
13,labrador city,52.9463,-66.9114,5.66,73,100,7.15,CA,1715111185
14,hawaiian paradise park,19.5933,-154.9731,24.46,88,100,3.6,US,1715111185
15,port macquarie,-31.4333,152.9167,13.27,70,76,2.44,AU,1715111185
16,sandnessjoen,66.0217,12.6316,10.23,81,75,4.12,NO,1715111185
17,wheaton,41.8661,-88.107,25.71,75,75,6.69,US,1715111185
18,ilulissat,69.2167,-51.1,-3.99,63,75,1.54,GL,1715111186
19,lompoc,34.6391,-120.4579,26.5,61,0,7.2,US,1715111186
20,wailua homesteads,22.0669,-159.378,26.24,77,40,5.14,US,1715111186
21,invercargill,-46.4,168.35,6.68,89,100,3.58,NZ,1715111186
22,adamstown,-25.066,-130.1015,21.77,78,56,4.46,PN,1715111186
23,grytviken,-54.2811,-36.5092,-2.33,79,37,4.52,GS,1715111186
24,nadym,65.5333,72.5167,-2.24,83,100,6.79,RU,1715111187
